Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.125,0.138349965988052,-0.175,0,0,0,6.77486725877128,0.0513980645062783,-1.2255372478021E-18,1.78031458525141E-18,0.0315144067015224,4.97458857482161E-19,0.0274216662343612,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/base_link.STL,,Support_column-4;Frame_column-4;Support_column-1;Support_column-2;Frame_column-1;Frame_column-2;Support_column-3;Frame_column-3;Base_column-2;Base_column-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0078747,-0.05849,0,0,0,0,0.61195,0.0010504,-2.7483E-05,-7.5477E-21,0.00058666,-4.6833E-20,0.00068007,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/LFS.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/LFS.STL,,Wheel_assy-5/Wheel_fork-1;Wheel_assy-5/wheel-1,Origin_J1,,J1,continuous,0,0.315,-0.04,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
LFW,-5.5511E-17,0.0225,2.7756E-17,0,0,0,0.50721,0.00054363,-4.4347E-20,4.0658E-20,0.00091608,-6.7865E-20,0.00054363,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/LFW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/LFW.STL,,Wheel_assy-5/wheel-1,Origin_W1,,W1,continuous,0.035,-0.065,0,0,1.2014,1.5708,LFS,1,0,0,,,,,,,,,,,,
LRS,0.0078747,-0.05849,-6.9389E-18,0,0,0,0.61195,0.0010504,-2.7483E-05,-1.7742E-20,0.00058666,-5.7406E-20,0.00068007,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/LRS.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/LRS.STL,,Wheel_assy-3/Wheel_fork-1;Wheel_assy-3/wheel-1,Origin_J2,,J2,continuous,0,0.035,-0.04,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
LRW,0,0.0225,0,0,0,0,0.507206206931255,0.000543629952666506,-4.18884689413118E-20,5.42101086242752E-20,0.000916077810493713,-4.74921995675154E-20,0.000543629952666506,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/LRW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/LRW.STL,,Wheel_assy-3/wheel-1,Origin_W2,,W2,continuous,0.035,-0.065,0,0,1.2014,1.5708,LRS,1,0,0,,,,,,,,,,,,
RFS,0.0078747,-0.05849,0,0,0,0,0.61195,0.0010504,-2.7483E-05,7.2584E-20,0.00058666,-7.1874E-20,0.00068007,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/RFS.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/RFS.STL,,Wheel_assy-2/Wheel_fork-1;Wheel_assy-2/wheel-1,Origin_J3,,J3,continuous,0.25,0.315,-0.04,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
RFW,-5.55111512312578E-17,0.0225,-2.77555756156289E-17,0,0,0,0.507206206931255,0.000543629952666506,-1.0093304555782E-19,4.06575814682064E-20,0.000916077810493714,-4.69802858462578E-19,0.000543629952666506,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/RFW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/RFW.STL,,Wheel_assy-2/wheel-1,Origin_W3,,W3,continuous,0.035,-0.065,0,0,1.2014,1.5708,RFS,1,0,0,,,,,,,,,,,,
RRS,0.0078747,-0.05849,-1.3878E-17,0,0,0,0.61195,0.0010504,-2.7483E-05,5.9091E-20,0.00058666,-9.7928E-20,0.00068007,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/RRS.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/RRS.STL,,Wheel_assy-4/Wheel_fork-1;Wheel_assy-4/wheel-1,Origin_J4,,J4,continuous,0.25,0.035,-0.04,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
RRW,0,0.0225,0,0,0,0,0.507206206931255,0.000543629952666506,8.07056014185324E-20,8.13151629364128E-20,0.000916077810493713,1.19094241683827E-20,0.000543629952666506,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/RRW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TO_URDF_1.1/meshes/RRW.STL,,Wheel_assy-4/wheel-1,Origin_W4,,W4,continuous,0.035,-0.065,0,0,1.2014,1.5708,RRS,1,0,0,,,,,,,,,,,,
