Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_diff,-3.1183E-17,-3.4795E-17,0.095859,0,0,0,285.23,14.835,7.0897E-16,2.2616E-15,28.56,1.454E-15,28.351,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/base_link_diff.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/base_link_diff.STL,,Diff_body_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFW,0,0.04,0.00011127,0,0,0,4.5176,0.023236,-3.6244E-18,0,0.041693,1.3687E-18,0.023276,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/LFW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/LFW.STL,,wheel_diff-1,Origin_J12,Axis_J12,J1,continuous,-0.315,0.22,-0.14756,0,0.17095,0,base_link_diff,0,1,0,,,,,,,,,,,,
LRW,0,0.04,0.00011127,0,0,0,4.5176,0.023236,2.5204E-17,-2.1684E-19,0.041693,3.1904E-18,0.023276,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/LRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/LRW.STL,,wheel_diff-2,Origin_J22,Axis_J22,J2,continuous,0.315,0.22,-0.14756,0,-0.10448,0,base_link_diff,0,1,0,,,,,,,,,,,,
RFW,-1.6653E-16,0.04,0.00011127,0,0,0,4.5176,0.023236,-1.7285E-17,-2.1684E-19,0.041693,-2.8801E-17,0.023276,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/RFW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/RFW.STL,,wheel_diff-3,Origin_J32,Axis_J32,J3,continuous,-0.315,-0.22,-0.14756,0,0.0769,3.1416,base_link_diff,0,1,0,,,,,,,,,,,,
RRW,-5.5511E-17,0.04,0.00011127,0,0,0,4.5176,0.023236,2.7429E-17,-1.0842E-18,0.041693,-9.0395E-19,0.023276,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/RRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Diff_Drive_1.4/meshes/RRW.STL,,wheel_diff-4,Origin_J4,Axis_J42,J4,continuous,0.315,-0.22,-0.14756,0,0.12074,3.1416,base_link_diff,0,1,0,,,,,,,,,,,,
